,SigC800,SigBr730,EpsC800,EpsBr730,density,density_err
49,0.16186,0.25180,0.14148,2.19063,1341.31,0.8
50,0.38519,0.50323,0.73393,1.53714,1292.67,1.3
51,0.73302,0.38988,0.36066,2.71716,656.035,0.75
52,0.66906,0.59100,0.09792,2.82765,1023.58,0.59
53,0.30452,0.40780,0.93051,1.92952,1341.01,2.3
54,0.22670,0.72750,0.43574,2.33099,655.496,0.33
55,0.59093,0.27038,0.53716,1.41672,1168.77,0.67
56,0.56218,0.52725,0.45753,1.82424,1221.96,0.7
57,0.27017,0.36563,0.57050,2.92610,1353.4,1.8
58,0.34236,0.66441,0.06038,1.32950,794.765,0.45
59,0.63409,0.22885,0.91217,2.41528,958.995,0.61
60,0.70135,0.68328,0.64842,2.05555,663.852,0.47
61,0.43041,0.31538,0.25606,1.18819,1337.08,23.5558
62,0.20379,0.54492,0.86374,2.53668,1224.13,3.1
63,0.47441,0.45310,0.23021,1.71665,1317.7,1.4
64,0.46918,0.51619,0.81921,2.90854,1319.52,0.99
65,0.19856,0.35132,0.21625,1.83795,1338.64,1.6
66,0.42627,0.65400,0.66323,2.43673,883.129,0.65
67,0.69721,0.21306,0.30144,1.31971,781.026,0.55
68,0.63002,0.70603,0.01502,1.20971,637.022,0.67
69,0.33830,0.33493,0.89737,2.04581,1349.32,1.2
70,0.26486,0.56942,0.47151,1.69904,1176.87,0.48
71,0.55686,0.47224,0.61504,2.55032,1277.17,2.2
72,0.59623,0.62572,0.39018,2.20823,984.08,3.1
73,0.23200,0.24164,0.52229,1.04437,1336.32,0.84
74,0.30859,0.48868,0.11170,2.69564,1303.43,13
75,0.67313,0.37853,0.97498,1.54688,803.82,0.27
76,0.73716,0.60931,0.68945,1.90808,650.713,0.54
77,0.38932,0.43151,0.34686,2.83744,1344.06,35.4865
78,0.16710,0.74784,0.77844,1.43427,524.962,0.47
79,0.51521,0.29396,0.18702,2.31728,1319.57,0.75
80,0.50487,0.73275,0.55179,1.65091,582.385,0.42
81,0.17799,0.27464,0.41968,2.59650,1344.27,1.6
82,0.39996,0.59426,0.94511,1.13273,1113.66,0.53
83,0.72714,0.41222,0.08184,2.12474,966.593,0.56
84,0.64579,0.50799,0.37622,2.48279,1083.98,0.62
85,0.33531,0.39361,0.71881,1.27170,1338.09,1.4
86,0.25847,0.64501,0.15707,2.98735,915.009,0.19
87,0.56922,0.25671,0.74849,1.76109,1214.29,0.65
88,0.52766,0.55010,0.24623,1.48233,1208.69,0.6
89,0.29468,0.45716,0.84919,2.27118,1326.8,5.3
90,0.36779,0.68674,0.27206,1.98491,719.362,0.62
91,0.60108,0.31987,0.63385,2.75865,1145.76,0.63
92,0.68850,0.66910,0.92721,2.64942,787.375,0.25
93,0.43442,0.23239,0.04485,1.59506,1336.7,0.67
94,0.20638,0.53124,0.58556,2.12932,1254.31,6.6
95,0.46074,0.37060,0.44203,1.12132,1330.56,1.6
96,0.45233,0.66006,0.11934,1.78970,866.191,10.5939
97,0.21657,0.20732,0.96731,2.95405,1339.69,22.8067
98,0.44342,0.52301,0.39785,1.30253,1269.41,1.1
99,0.67890,0.34419,0.51464,2.45080,830.867,0.92
100,0.60966,0.57492,0.80142,2.09009,1045.56,0.46
101,0.35748,0.46591,0.16407,1.16024,1310.32,1.3
102,0.28551,0.71344,0.71241,2.56365,691.748,0.21
103,0.53739,0.32835,0.32388,1.68113,1294.42,1.2
104,0.57822,0.48183,0.67087,1.09353,1196.56,1.1
105,0.24886,0.38566,0.29377,2.16364,1344.09,2.2
106,0.32690,0.61965,0.82688,1.56510,985.178,0.56
107,0.65598,0.24742,0.20861,2.68261,1034.56,1.1
108,0.71797,0.74044,0.49449,2.79212,593.31,0.19
109,0.40969,0.30051,0.59208,1.95651,1348.88,1.3
110,0.18658,0.60384,0.03797,2.30303,1113.71,2.2
111,0.49455,0.43783,0.87439,1.45127,1316.55,1.6
112,0.52434,0.58445,0.26441,2.51608,1120.2,0.83
113,0.15734,0.42280,0.64152,1.72675,1329.8,2.1
114,0.38078,0.72110,0.23856,2.01277,613.74,0.3
115,0.74751,0.28552,0.85684,1.23952,514.967,13.0361
116,0.66410,0.63468,0.56258,1.34826,795.84,0.85
117,0.31816,0.26679,0.46499,2.40311,1346.4,0.7
118,0.24045,0.49683,0.90425,1.86909,1294.29,3.4
119,0.58607,0.40502,0.06783,2.87660,1312.16,1.5
120,0.54831,0.69842,0.93747,2.35068,738.507,0.23
121,0.27521,0.30897,0.08951,1.40558,1340.15,1.4
122,0.34743,0.55992,0.54412,2.86959,1202.4,3.6
123,0.62026,0.44655,0.42733,1.87709,1134.73,0.64
124,0.70565,0.54239,0.13409,1.51953,947.751,0.41
125,0.41611,0.35922,0.77145,2.73013,1357.03,1.5
126,0.18952,0.67941,0.35326,1.01424,737.285,0.59
127,0.47875,0.22230,0.74179,2.24098,1326.74,1.2
128,0.48186,0.60659,0.16271,1.22889,1042.05,0.67
129,0.18986,0.42348,0.75037,2.01778,1333.9,3.1
130,0.41329,0.74405,0.37041,1.74127,547.077,0.57
131,0.70503,0.28701,0.71689,2.51499,671.536,0.71
132,0.62220,0.62515,0.95091,2.90480,966.987,0.68
133,0.35127,0.23577,0.08387,1.85042,1339.74,0.96
134,0.27356,0.48703,0.54607,2.37882,1323.98,5.2
135,0.54418,0.37373,0.41785,1.37085,1282.23,0.81
136,0.59021,0.69908,0.59125,1.90334,742.323,1.7
137,0.24210,0.33114,0.44384,2.84896,1352.54,0.75
138,0.31432,0.56139,0.92144,1.37543,1203.46,0.66
139,0.66216,0.46952,0.04285,2.36740,1252.75,17.0692
140,0.74813,0.51139,0.27790,2.22841,704.07,0.45
141,0.38359,0.34968,0.63580,1.01728,1339.22,1.5
142,0.15701,0.64813,0.24056,2.73880,905.367,0.15
143,0.52123,0.21249,0.84729,1.51257,1293.92,0.56
144,0.49422,0.66745,0.47322,2.45580,848.804,0.28
145,0.18347,0.22758,0.62064,1.29191,1337.73,0.49
146,0.41031,0.53067,0.01287,2.95295,1253.94,13
147,0.72079,0.36473,0.89146,1.80422,617.708,0.43
148,0.65214,0.54631,0.66527,1.66245,949.083,0.79
149,0.32496,0.45021,0.30737,2.59185,1325.98,5.5
150,0.25299,0.68402,0.81746,1.18282,718.757,0.48
151,0.57987,0.31185,0.21072,2.06580,1256.54,1.1
152,0.53574,0.50212,0.78023,2.66198,1284.65,7.6
153,0.28138,0.39304,0.19258,1.59135,1335.48,1.8
154,0.35942,0.64021,0.68738,2.18037,936.745,0.59
155,0.61351,0.25506,0.34090,1.06338,1128.65,0.62
156,0.67608,0.72472,0.11382,1.45433,575.466,0.96
157,0.44279,0.27192,0.98086,2.29046,1349.17,1.6
158,0.21968,0.58731,0.38850,1.94955,1113.72,0.43
159,0.45266,0.40843,0.51672,2.80079,1345.8,3.6
160,0.46239,0.73343,0.89846,2.09435,591.461,0.43
161,0.21051,0.29678,0.06581,1.14922,1338.7,0.95
162,0.43248,0.59575,0.56830,2.62299,1189.22,0.64
163,0.68466,0.43517,0.46682,1.63052,840.19,0.74
164,0.60390,0.47697,0.23292,1.77000,1218.93,0.76
165,0.36842,0.38409,0.85496,2.98064,1354.68,1.8
166,0.29157,0.61371,0.27022,1.25888,1009.89,0.67
167,0.52733,0.24691,0.64344,2.48560,1293.8,0.84
168,0.56955,0.57227,0.34742,2.77342,1140.51,0.68
169,0.26158,0.45782,0.73984,1.98405,1321.89,3.7
170,0.33469,0.70971,0.13976,2.26032,650.661,0.54
171,0.64297,0.32134,0.77335,1.48709,940.835,0.33
172,0.73099,0.65955,0.53843,1.09679,603.05,0.84
173,0.40190,0.20137,0.42552,2.15166,1341.03,0.63
174,0.17386,0.52143,0.94324,1.62350,1272.9,2.2
175,0.50322,0.33932,0.09151,2.63098,1336.01,2.1
176,0.51107,0.53645,0.71037,1.33619,1243.09,0.63
177,0.16545,0.35871,0.31795,2.40633,1347.89,1.7
178,0.39317,0.67454,0.80318,1.81756,825.785,0.15
179,0.73910,0.22072,0.16959,2.93504,676.54,1.3
180,0.67251,0.69033,0.39614,2.54360,730.708,0.4
181,0.30578,0.30632,0.50904,1.70796,1345.23,1.5
182,0.23234,0.55291,0.12149,2.04862,1221.12,0.8
183,0.59934,0.44283,0.97322,1.19689,1125.61,0.56
184,0.55375,0.63310,0.03586,1.54603,916.921,0.59
185,0.26453,0.26193,0.86851,2.71041,1350.74,1.1
186,0.34111,0.49632,0.49617,1.04913,1298.04,1.5
187,0.63065,0.39908,0.59765,2.19736,1057.1,0.65
188,0.69526,0.58072,0.82510,2.33962,797.765,0.58
189,0.42243,0.41579,0.20305,1.40974,1328.21,1.2
190,0.20021,0.71844,0.67294,2.81901,686.091,0.36
191,0.47332,0.27743,0.29973,1.93652,1332.56,1.5
192,0.47745,0.61881,0.62746,2.68896,1051.98,0.4
193,0.20434,0.25085,0.28481,1.55582,1338.43,1.2
194,0.42767,0.48055,0.83895,2.21492,1303.59,9.9
195,0.70050,0.38866,0.24747,1.03542,823.01,0.66
196,0.63596,0.60025,0.45177,1.42734,935.966,0.64
197,0.34642,0.43856,0.58381,2.32598,1336.87,6.2
198,0.26859,0.73756,0.05079,1.91500,563.652,0.4
199,0.55782,0.30194,0.91400,2.82875,1252.59,0.44
200,0.59528,0.52632,0.07689,2.42785,1246.06,0.81
201,0.22828,0.34319,0.95930,1.32645,1339.49,23.3223
202,0.30046,0.66321,0.41088,2.91743,857.95,0.2
203,0.66719,0.20615,0.55447,1.83119,845.666,0.65
204,0.73387,0.71402,0.75775,1.69040,558.2,0.56
205,0.38793,0.32465,0.15484,2.55731,1348.42,0.24
206,0.16131,0.57647,0.72426,1.21834,1156.26,0.74
207,0.50693,0.46318,0.36253,2.03883,1305.74,2.1
208,0.49907,0.55715,0.98878,1.99378,1214.81,1.3
209,0.16971,0.44809,0.10636,2.75192,1327.16,7.3
210,0.39667,0.69473,0.52463,1.47344,688.292,0.72
211,0.72575,0.30960,0.38105,2.27793,636.499,0.54
212,0.63766,0.67829,0.18423,2.13796,782.604,0.34
213,0.32937,0.22547,0.78713,1.11432,1343.66,0.96
214,0.25752,0.54138,0.33255,2.64079,1235.78,12
215,0.56549,0.36248,0.69428,1.60204,1238.24,0.51
216,0.53140,0.72248,0.31476,1.13941,595.134,0.47
217,0.29564,0.28263,0.65741,2.11581,1349.2,1.3
218,0.37372,0.58519,0.21812,1.64422,1123.9,0.55
219,0.60920,0.41927,0.80960,2.60545,1133.7,0.23
220,0.68990,0.49987,0.61368,2.99429,866.382,0.37
221,0.43772,0.40375,0.48163,1.75239,1334.2,2.3
222,0.21465,0.63809,0.88450,2.47587,943.238,1.9
223,0.46652,0.26590,0.02129,1.28039,1334.74,1.3
224,0.45797,0.49198,0.43386,1.57373,1298.19,4.1
225,0.22500,0.37755,0.53151,2.67563,1347.48,3.7
226,0.44685,0.62885,0.09984,1.08489,949.866,0.6
227,0.68014,0.24050,0.93632,2.17064,757.209,0.39
228,0.61765,0.74844,0.73191,2.31192,603.052,9.07482
229,0.36356,0.29024,0.35486,1.44452,1344.46,0.92
230,0.28661,0.61088,0.76542,2.78325,1070.2,0.85
231,0.54097,0.42876,0.14720,1.96324,1308.4,0.91
232,0.57462,0.65314,0.86193,1.30945,852.549,11.5626
233,0.24775,0.21651,0.22452,2.44211,1341.22,1.5
234,0.32082,0.51489,0.65042,1.78276,1276.15,6.2
235,0.64801,0.35433,0.26183,2.96275,1080.62,0.62
236,0.71672,0.56585,0.05843,2.57034,1041.95,1.1
237,0.40624,0.47295,0.90633,1.67218,1320.31,2.3
238,0.17816,0.70317,0.45944,2.08342,665.79,0.89
239,0.48892,0.33635,0.57617,1.16918,1323.34,1.2
240,0.51593,0.68814,0.19513,2.86267,775.02,0.21
241,0.15170,0.31696,0.83255,1.88578,1341.26,1.2
242,0.37952,0.55086,0.29181,2.35762,1225.6,2.1
243,0.74406,0.45361,0.68040,1.39687,563.753,0.29
244,0.65802,0.53427,0.87686,1.00755,882.714,0.36
245,0.31019,0.36935,0.02896,2.24993,1344.17,1.6
246,0.23686,0.67250,0.60601,1.52621,762.142,0.43
247,0.58497,0.23150,0.48927,2.72120,1191.44,0.54
248,0.54941,0.59150,0.50165,2.00414,1080.05,0.68
249,0.27879,0.41374,0.40400,1.24650,1331.28,24.505
250,0.35541,0.72908,0.96583,2.52473,651.644,0.2
251,0.62635,0.27525,0.12934,1.71975,1187.98,0.26
252,0.70909,0.64388,0.32491,1.86020,736.398,0.38
253,0.41736,0.25989,0.70195,2.88336,1350.72,0.86
254,0.19517,0.50696,0.17656,1.35714,1287.58,1.5
255,0.48718,0.39690,0.79477,2.39637,1333.31,2.9
256,0.48596,0.50537,0.53332,1.96487,1282.97,3.5
257,0.19643,0.39637,0.43190,2.78546,1344.65,3.2
258,0.41859,0.64332,0.93433,1.43889,896.339,0.86
259,0.70781,0.25826,0.10174,2.30589,935.943,0.67
260,0.62746,0.72960,0.35682,2.16492,593.293,0.44
261,0.35434,0.27684,0.73010,1.07882,1343.69,1.2
262,0.27766,0.59313,0.14530,2.67729,1172.82,4.6
263,0.55050,0.41430,0.76741,1.57603,1267.14,0.33
264,0.58386,0.67090,0.22639,1.16739,764.423,0.85
265,0.23793,0.23098,0.85992,2.08124,1341.5,0.95
266,0.31132,0.53372,0.25990,1.67778,1256.64,1.3
267,0.65693,0.36772,0.65226,2.57653,921.993,0.57
268,0.74528,0.55139,0.90835,2.96826,642.544,0.47
269,0.37827,0.45520,0.05656,1.78891,1324.69,1.7
270,0.15046,0.68977,0.57433,2.44035,768.365,1.2
271,0.51720,0.31751,0.46137,1.30736,1304.55,0.55
272,0.48766,0.70476,0.83044,2.72349,732.976,0.15
273,0.17938,0.33687,0.19691,1.52789,1340,1.2
274,0.40751,0.56640,0.68209,2.24386,1195.96,0.93
275,0.71549,0.47458,0.28973,1.00184,752.323,1.2
276,0.64908,0.51436,0.02718,1.39086,1231.42,0.79
277,0.31972,0.35274,0.87897,2.35196,1351.27,2.4
278,0.24666,0.65151,0.49135,1.88801,889.062,0.73
279,0.57575,0.21595,0.60432,2.86428,1202.94,0.84
280,0.53990,0.61248,0.40195,2.39426,1066.77,0.69
281,0.28772,0.42928,0.50337,1.35540,1325.21,1.3
282,0.36465,0.74899,0.13109,2.88949,593.135,0.092
283,0.61652,0.29187,0.96369,1.86573,1040.36,0.91
284,0.68139,0.62833,0.70024,1.72595,777.919,0.48
285,0.44563,0.23890,0.32696,2.53031,1338.7,1.2
286,0.22372,0.49035,0.79691,1.24433,1301,1.2
287,0.45921,0.37699,0.17481,2.00234,1335.58,2.3
288,0.46765,0.63650,0.28285,2.83493,959.081,0.59
289,0.21356,0.26538,0.62927,1.92059,1339.63,1.2
290,0.43661,0.49932,0.24937,2.32381,1312.21,31.5801
291,0.69097,0.40213,0.83696,1.42555,742.13,0.42
292,0.60797,0.58571,0.58200,1.03332,1011.98,0.8
293,0.37500,0.42086,0.45373,2.21317,1346.06,2.4
294,0.29686,0.72411,0.91599,1.56197,593.77,0.46
295,0.53014,0.28318,0.04889,2.69448,1330.11,0.79
296,0.56673,0.53979,0.95729,2.03281,1195.01,0.72
297,0.25624,0.36196,0.07876,1.21271,1335.57,0.63
298,0.32815,0.67774,0.55631,2.55953,799.856,0.33
299,0.63891,0.22384,0.40895,1.69203,1009.18,0.58
300,0.72463,0.69526,0.15297,1.83349,633.844,0.49
301,0.39776,0.31120,0.75977,2.91910,1360.42,0.93
302,0.17082,0.55877,0.36446,1.32039,1207.19,1.2
303,0.49800,0.44864,0.72242,2.42214,1331.22,4.3
304,0.50802,0.57807,0.10814,1.60757,1141.51,0.59
305,0.16018,0.46370,0.98667,2.64692,1342.75,6.7
306,0.38686,0.71457,0.37897,1.11259,615.704,0.3
307,0.73498,0.32628,0.52632,2.13585,574.435,0.52
308,0.66592,0.66268,0.78924,2.27613,826.831,0.28
309,0.30170,0.20456,0.18245,1.47128,1335.41,22.4692
310,0.22953,0.52469,0.69259,2.75750,1243.87,13
311,0.59406,0.34264,0.33463,1.99998,1208.28,0.62
312,0.55909,0.73916,0.65913,1.27468,563.758,0.51
313,0.26736,0.30247,0.31272,2.46979,1347.58,1.5
314,0.34516,0.60081,0.80746,1.75407,1065.56,0.56
315,0.63717,0.44019,0.21987,2.99657,1184.72,0.88
316,0.69941,0.48003,0.48368,2.60706,828.438,0.46
317,0.42880,0.38707,0.61196,1.64645,1339.12,1.8
318,0.20541,0.61718,0.01954,2.11016,1051.61,0.44
319,0.47634,0.25030,0.88664,1.13340,1330.85,1.4
320,0.47221,0.71896,0.06400,2.49131,675.709,0.23
321,0.20128,0.27903,0.90042,1.26494,1340.08,1.2
322,0.42355,0.58235,0.46881,2.97897,1236.02,11
323,0.69417,0.41634,0.56640,1.76770,773.11,1.1
324,0.63187,0.49473,0.85300,1.62889,1021.82,0.35
325,0.33986,0.39856,0.23473,2.62077,1346.89,0.56
326,0.26329,0.63254,0.64534,1.15485,930.19,0.61
327,0.55502,0.26030,0.26823,2.10037,1274.41,0.61
328,0.59812,0.55343,0.73797,2.62547,1128.88,0.67
329,0.23359,0.44442,0.34944,1.61736,1327.96,1.9
330,0.30701,0.69196,0.77528,2.15341,754.421,0.45
331,0.67123,0.30688,0.13792,1.09888,1037.75,0.4
332,0.74021,0.67294,0.42351,1.48888,601.721,1.2
333,0.39209,0.22020,0.54030,2.26249,1347.12,1.8
334,0.16432,0.53590,0.09335,1.97846,1243.57,4.3
335,0.51216,0.35709,0.94131,2.76724,1322.38,25.2811
336,0.50214,0.52091,0.32006,1.20290,1263.09,0.99
337,0.17497,0.33773,0.70859,2.05427,1346.82,0.66
338,0.40299,0.65793,0.16790,1.70572,882.118,0.4
339,0.72986,0.20082,0.80526,2.54199,570.359,0.78
340,0.64423,0.71131,0.51082,2.93275,692.677,0.29
341,0.33347,0.32186,0.39403,1.81588,1346.15,1.3
342,0.26030,0.57282,0.97114,2.41241,1169.55,0.83
343,0.57079,0.45945,0.12318,1.34190,1277.25,1.3
344,0.52607,0.61320,0.87056,1.93032,1069.91,17
345,0.29279,0.24532,0.03414,2.81342,1342.31,1.1
346,0.36969,0.47534,0.59590,1.41190,1315.81,2.5
347,0.60266,0.38354,0.49831,2.34142,1173.27,0.45
348,0.68573,0.59734,0.20477,2.19947,914.293,0.41
349,0.43137,0.43570,0.82305,1.05086,1327.13,1.7
350,0.20942,0.73398,0.29759,2.70428,644.188,0.29
351,0.46351,0.29841,0.67469,1.54050,1337.31,0.94
352,0.45390,0.58783,0.75233,1.37294,1131.04,0.82
353,0.21841,0.41003,0.16091,2.38057,1340.38,2.2
354,0.44157,0.72635,0.71499,1.84427,602.842,0.42
355,0.67733,0.27247,0.37240,2.89929,855.216,1.5
356,0.61238,0.63861,0.08568,2.50880,932.954,0.42
357,0.36051,0.25454,0.94895,1.73567,1351.73,0.82
358,0.28249,0.50156,0.41586,2.01996,1286.04,35.9753
359,0.53466,0.39142,0.54797,1.23069,1286.32,0.87
360,0.58099,0.68454,0.44586,1.51027,724.85,0.69
361,0.25190,0.31344,0.58938,2.73713,1350.14,1.6
362,0.32385,0.54793,0.04102,1.02335,1229.36,1.5
363,0.65321,0.45076,0.92337,2.23413,936.329,0.7
364,0.71956,0.52907,0.63767,2.37343,729.637,0.43
365,0.41158,0.36421,0.27588,1.38106,1338.04,0.99
366,0.18468,0.66690,0.84536,2.84674,844.927,0.28
367,0.49297,0.22595,0.24240,1.90170,1321.35,1.3
368,0.52250,0.64761,0.61886,2.06761,927.039,0.35
369,0.15577,0.21090,0.47533,1.18499,1331.33,1.3
370,0.38234,0.50976,0.89354,2.58627,1325.9,0.45
371,0.74935,0.34912,0.01118,1.65626,1192.34,0.53
372,0.66107,0.56299,0.30526,1.79869,982.979,0.58
373,0.31545,0.47004,0.66705,2.94682,1307.51,14
374,0.24317,0.69963,0.21241,1.29364,664.068,0.45
375,0.58910,0.33277,0.81538,2.45791,1172.17,0.79
376,0.54527,0.48651,0.19086,2.79917,1294.28,33.8374
377,0.27243,0.37213,0.78228,1.94732,1346.3,2.1
378,0.35020,0.62352,0.34304,2.29611,1028.14,8.1
379,0.62331,0.23522,0.68563,1.46033,1025.63,0.64
380,0.70375,0.74564,0.97881,1.06908,525.485,0.31
381,0.41453,0.28753,0.11554,2.18644,1343.25,1.2
382,0.19111,0.60715,0.51847,1.58967,1030.98,0.63
383,0.48064,0.42511,0.38636,2.65969,1339.7,5.4
384,0.48002,0.68103,0.96939,1.68665,814.469,0.25
385,0.18829,0.22286,0.11765,2.56979,1338.19,1.4
386,0.41486,0.54292,0.51286,1.15850,1245.52,1.1
387,0.70687,0.36081,0.39996,2.08799,731.869,1.2
388,0.61917,0.55937,0.16576,2.44900,1137.41,0.74
389,0.34855,0.44492,0.79935,1.30036,1327.37,2.3
390,0.27628,0.69682,0.32177,2.95963,732.091,0.29
391,0.54721,0.30845,0.71419,1.79589,1268.72,0.54
392,0.58716,0.49846,0.29591,1.44556,1217.02,15.701
393,0.23933,0.40558,0.66912,2.29696,1345.37,2.1
394,0.31709,0.63519,0.20689,1.95818,912.559,0.49
395,0.66521,0.26839,0.82893,2.79441,831.115,0.49
396,0.74623,0.72054,0.59383,2.68423,633.835,0.29
397,0.38201,0.28390,0.49235,1.56733,1346.96,1.1
398,0.15859,0.58285,0.87234,2.15800,1130.86,0.79
399,0.52312,0.42228,0.03969,1.08751,1316.71,1.8
400,0.49579,0.60221,0.63962,2.88281,1126.62,0.63
401,0.18530,0.43728,0.26640,1.87467,1327.87,1.4
402,0.40847,0.73992,0.85879,2.40095,620.3,11
403,0.71923,0.29891,0.23675,1.34645,724.133,1.2
404,0.65486,0.62021,0.46300,1.23740,846.746,0.28
405,0.32799,0.24904,0.56448,2.01105,1346.18,0.98
406,0.24997,0.48343,0.06964,1.73287,1304.88,2.5
407,0.57715,0.38619,0.90230,2.52162,1220.71,0.34
408,0.53851,0.71181,0.08767,2.23499,699.961,0.25
409,0.28442,0.32780,0.93940,1.00858,1340.34,0.58
410,0.35637,0.57440,0.42935,2.73238,1166.95,1.1
411,0.61073,0.46432,0.54225,1.52113,1135.77,1.1
412,0.67766,0.52356,0.76952,1.87937,910.644,0.45
413,0.44469,0.34582,0.13593,2.87127,1347.06,1.9
414,0.21779,0.66165,0.74366,1.39949,803.398,0.63
415,0.45107,0.20784,0.35124,2.34498,1333.28,1.2
416,0.45967,0.53287,0.21456,2.55261,1232.87,11
417,0.20748,0.37116,0.82129,1.70072,1336.08,0.83
418,0.43551,0.66962,0.30355,2.03974,784.055,10.2136
419,0.68738,0.23398,0.66145,1.20400,741.505,15.9955
420,0.60233,0.68619,0.89530,1.31369,729.81,0.34
421,0.36657,0.31824,0.01671,2.43109,1347.52,1.1
422,0.29341,0.54851,0.61682,1.84017,1233.04,0.77
423,0.52889,0.45664,0.46940,2.91017,1301.17,4.9
424,0.56797,0.64664,0.52054,2.31518,917.559,0.44
425,0.25968,0.25726,0.39232,1.43253,1338.88,1.8
426,0.33658,0.50851,0.97703,2.84358,1307.21,17
427,0.64456,0.39521,0.10998,1.91359,1189.74,0.57
428,0.72821,0.59371,0.34472,1.55308,720.713,0.67
429,0.39885,0.41060,0.69120,2.70123,1355.45,4.2
430,0.17690,0.73115,0.18874,1.04220,557.314,0.67
431,0.50599,0.27411,0.77639,2.20643,1316.21,1.3
432,0.51410,0.74621,0.42167,1.76270,611.175,0.27
433,0.16817,0.29340,0.54989,2.98959,1350.11,1.3
434,0.39045,0.60879,0.08003,1.26604,1029.73,0.99
435,0.73607,0.42991,0.94707,2.47679,597.936,0.66
436,0.67435,0.48923,0.72071,2.11905,875.859,0.93
437,0.30734,0.38015,0.37423,1.12665,1335.41,0.75
438,0.23077,0.62731,0.74653,2.59819,1010.74,0.27
439,0.59750,0.24217,0.15888,1.65319,1227.6,0.61
440,0.55564,0.56779,0.85112,1.11951,1142.41,0.3
441,0.26611,0.47169,0.24439,2.12716,1317.98,32.9866
442,0.33953,0.70551,0.63198,1.60063,651.99,0.12
443,0.62875,0.33334,0.27407,2.65562,1131.63,0.76
444,0.69831,0.65455,0.04669,2.76419,856.134,0.26
445,0.42520,0.21469,0.92528,1.99103,1345.03,1.4
446,0.19743,0.51778,0.44002,2.26945,1265.64,9.9
447,0.47027,0.35184,0.58743,1.48021,1332.77,23.8967
448,0.47550,0.54437,0.48544,2.14477,1234.9,3.2
449,0.20266,0.45147,0.60217,1.10587,1320.96,1.5
450,0.42934,0.68168,0.03278,2.63410,793.973,0.23
451,0.70246,0.31486,0.88068,1.61038,676.215,0.7
452,0.63281,0.66603,0.67656,1.96958,771.746,0.13
453,0.34359,0.22940,0.28797,2.77398,1344.27,0.85
454,0.27142,0.52777,0.83637,1.49777,1262.97,2.3
